   Y(Boylam)    X(Enlem)
   40.4826800   39.2285640
   40.4966250   38.8854640
   40.5539320   38.7484050
   41.0143680   39.2979960
   40.3490480   39.3100590
   41.0537720   38.9679120
   40.0690780   39.2279560
   40.5452910   39.4339430
   42.7365110   38.8049250
   42.4870730   38.7552850
   42.1095020   38.4005690
   42.0206200   38.5764340
   42.4281130   38.2255220
   41.9223200   38.4085880
   42.2812760   38.5019980
   31.6082090   40.7325410
   32.0624770   40.7207660
   32.1933230   40.8003250
   30.7856500   40.4032050
   31.8655207   40.4514949
   32.0738680   40.9391390
   31.2119360   40.4625810
   31.5698640   40.4111590
   32.0299400   40.7713230
   30.5340000   37.6493670
   29.5446150   36.9975510
   30.5898340   37.4565480
   30.2823330   37.7183360
   29.6897710   37.1551450
   30.4827470   37.5338470
   29.5074580   37.1408080
   29.8238570   37.3729240
   30.0612160   37.3533190
   29.7747150   37.3095000
   29.7529020   37.5068580
   28.8853770   39.7731880
   29.1554160   40.4318200
   29.1937200   40.2178940
   29.1563000   39.6778000
   29.5096969   40.0800822
   29.7197430   40.4295240
   28.3590000   40.2160370
   29.2358960   39.9128860
   29.2125320   40.2009500
   28.8832460   40.3769730
   28.4051770   40.0394409
   29.0609636   40.1885281
   28.9907000   39.9037999
   29.3088060   40.4900800
   29.0609636   40.1885281
   29.6506870   40.2641980
   29.1623231   40.1787113
   26.4018570   39.6037530
   26.6120470   39.8095230
   27.2436250   40.2265270
   26.0357170   39.8205136
   27.0466340   40.0281670
   26.4085870   40.1467200
   26.3593940   40.1842860
   26.3358660   39.7871260
   26.6699970   40.4139849
   25.9039948   40.1929461
   26.6843049   40.3454770
   27.2593310   39.9295430
   33.0754760   40.8155120
   33.2040370   40.9430070
   33.7600452   40.5178931
   32.8911280   40.8113249
   33.4996650   40.5289820
   33.6271780   40.9252380
   33.9871300   40.3474320
   33.5181920   40.7358810
   33.2607470   40.8412990
   33.1083650   40.6257290
   33.2826639   40.4831640
   33.7788060   40.7570500
   34.8417680   40.1692820
   34.2628620   40.6445030
   34.6092790   40.0215650
   34.9537242   40.5499256
   34.8089210   40.8587640
   34.4710110   40.7306480
   34.4871550   41.1345300
   34.8874620   40.7706090
   35.2952880   40.5205259
   34.7048360   40.7542900
   35.2482040   40.2727600
   34.8001220   40.9689580
   34.3752290   40.1636590
   34.4516140   40.4454220
   29.3511430   37.4263850
   28.8587820   37.8106610
   29.6069090   37.9767480
   29.4187850   38.2301670
   28.8975090   37.2359950
   29.6063900   37.8210210
   28.8345980   38.0442060
   29.3972790   38.0830130
   29.3514820   37.0767680
   29.6683230   37.8250350
   29.7402580   38.3021200
   29.0643560   38.1544809
   29.2642560   37.7569600
   28.8498920   37.4518930
   29.0772146   37.7835168
   29.1103070   37.9186089
   28.9230780   37.9244520
   29.2660390   37.5879550
   29.0713290   37.5730680
   40.2109826   37.9249733
   40.6686880   37.8500550
   39.4561190   38.1350920
   40.4134839   37.7241370
   39.2884070   38.2123240
   40.0755780   38.3733080
   40.0811520   38.2579120
   39.7617290   38.2680350
   40.3961619   38.4111750
   40.7808110   38.2537570
   40.2109826   37.9249733
   40.5055200   38.2918189
   41.0098610   38.5001190
   40.6520570   38.4531880
   41.0128070   38.1412250
   40.3886040   38.0597606
   40.2109826   37.9249733
   31.1239760   41.0881810
   30.9507580   40.8733379
   31.0468650   40.8934330
   31.1626090   40.8387200
   30.9964060   40.7767300
   30.9390580   40.8460270
   31.3038630   40.7760330
   31.4430390   40.9602829
   26.5557145   41.6771297
   26.0845740   40.7250240
   26.8215100   41.5488659
   26.3939410   40.9292320
   26.6300410   40.8586150
   26.7346250   41.8391420
   26.4181750   41.1910490
   26.9102500   41.7677750
   26.6876790   41.2669790
   38.7155730   38.9430030
   39.8617130   38.4618350
   40.1346260   38.5635100
   38.8237160   38.5678290
   39.2225150   38.6748160
   40.0359460   38.9557800
   38.7445420   38.7938890
   39.8665910   38.7179150
   39.6675960   38.3916910
   39.9324570   38.6924340
   39.3093440   38.4470410
   40.0370930   39.8042360
   39.4911240   39.7467970
   38.5647130   39.4564840
   39.0350240   39.6022520
   38.4968960   39.2620410
   40.0221000   39.9736000
   38.7680680   39.8995830
   40.3836670   39.7776310
   39.7013070   39.7102980
   40.6947040   39.9201880
   41.1051880   39.9457900
   40.9775800   39.6120469
   41.7094210   39.3596430
   42.1688770   40.0400490
   41.0003920   40.4842770
   42.1127430   39.3506840
   42.1455550   39.7027600
   41.8731180   39.9735990
   41.8701960   40.3436860
   41.9956340   40.5459630
   42.1285560   40.8278080
   41.2658236   39.9054993
   41.6680769   39.9771820
   40.7736590   40.4143029
   42.3471199   40.5615990
   41.5073810   39.6454450
   41.5499520   40.2946510
   41.5479410   40.5327900
   41.2658236   39.9054993
   30.9586120   39.7657570
   31.2057720   39.6893990
   31.0408000   39.3820000
   31.8100000   39.3842000
   30.8617000   39.1606000
   30.1455000   39.8225000
   30.9863530   39.4943700
   30.5770510   40.0262260
   31.5370003   39.9232301
   30.5256311   39.7667061
   30.6176020   40.0373990
   30.6939120   39.4456190
   31.5378000   39.4513000
   30.5256311   39.7667061
   37.6895570   37.4253700
   36.6311120   37.0253439
   37.9953209   36.8358009
   37.7969490   37.0099260
   36.7405870   37.1759879
   37.5107090   36.9653430
   37.3781100   37.0659530
   37.3781100   37.0659530
   37.5668330   37.3182540
   38.7675310   40.3181740
   38.2320430   40.9375130
   38.7475310   40.1294530
   39.0097450   40.9170880
   38.4494150   40.7399180
   38.9161610   40.8101530
   38.7084850   40.9497440
   39.1410310   41.0630480
   38.3926530   40.9175320
   39.0020710   41.0332770
   38.8076300   40.8929770
   38.5130430   40.9156260
   38.1196460   40.9545620
   38.4221660   40.2884960
   38.8145950   41.0074570
   38.6224410   40.8642169
   39.6356538   40.3842900
   39.4322560   40.1287480
   39.6531360   40.2103510
   39.0854310   40.7019920
   39.1278060   40.1893640
   39.2932790   40.5578660
   43.6122749   37.2469030
   43.7367820   37.5774270
   44.5769600   37.3034419
   44.2822990   37.5717160
   36.3064595   36.0772722
   36.1613221   36.2022842
   35.8879642   36.4071516
   36.1947070   36.4903080
   36.1436350   36.1935153
   36.2215650   36.8433580
   36.2052290   36.9538390
   36.5219630   36.7986350
   36.1756161   36.5846730
   36.3607030   36.4967300
   36.4510820   36.3627180
   36.2088316   36.7428656
   36.5675930   36.2685230
   35.9685370   36.0869920
   36.0626750   35.9029710
   44.5160550   39.8739020
   44.0436151   39.9200596
   44.1743820   39.9707050
   43.6631640   40.0400149
   31.0695710   37.7992510
   30.6407850   37.9505960
   30.8508890   37.8740669
   31.0147740   38.1208310
   30.5123230   37.9588899
   30.5537050   37.7626487
   30.3013600   37.9430580
   30.5501780   38.1079409
   30.9786510   37.4952650
   31.3617910   38.0797960
   30.4509450   38.0783289
   31.1758050   38.2994730
   31.3832820   37.7059440
   29.1295640   40.8746550
   28.7388890   41.1863940
   29.1277780   40.9833330
   28.7314618   41.0153479
   28.8247220   41.0456474
   28.8247220   41.0085450
   28.8536084   40.9831984
   28.8166670   41.0833330
   28.9004553   41.0481503
   29.0020000   41.0440000
   29.1056900   41.1327190
   28.6498144   40.9910381
   28.9775000   41.0369440
   28.5854530   41.0244740
   28.4574690   41.1422590
   29.3177272   41.1042350
   28.8538545   41.0794133
   28.6940580   41.0412899
   28.9344440   41.0550000
   28.9338640   41.0201690
   28.9004553   41.0759477
   28.8742440   41.0205460
   29.0822700   40.9801410
   28.9819731   41.0814028
   29.1936490   40.8996510
   28.7753420   41.0086579
   29.1739513   40.9498022
   29.2581350   40.8793260
   29.2901829   41.0287028
   29.0499500   41.1663280
   28.2478680   41.0736780
   29.2620080   40.9684230
   28.8713314   41.1255794
   29.6095880   41.1749030
   29.0110762   41.1243090
   29.3598782   40.8982305
   29.1274334   41.0182327
   29.0319380   41.0322360
   28.8961400   40.9906350
   26.9707400   38.7995610
   27.0499859   38.3890827
   27.6479490   38.2174819
   27.1382404   38.4793887
   27.1799130   39.1214490
   28.2106000   38.0847000
   27.2176900   38.4709820
   27.1747090   38.3854789
   26.3032150   38.3243110
   26.9616941   38.4940251
   26.8891990   39.0749000
   26.7579180   38.6703780
   27.1225200   38.3251500
   26.8995920   38.3349260
   27.0441009   38.3465505
   26.5127380   38.6382509
   27.1382404   38.5183996
   27.4188000   38.4275000
   27.3818000   39.0859000
   28.2064000   38.2302000
   27.1441227   38.4144802
   27.1326680   38.2517440
   27.0696580   38.6103660
   26.9970153   38.3777936
   27.9717606   38.2190057
   26.8344020   38.1951500
   27.3699540   37.9508450
   27.7318380   38.0894780
   27.3644940   38.1557310
   26.7668100   38.3249720
   36.9147220   38.2438020
   36.3497670   37.5757180
   37.2932080   37.7501640
   36.9494050   37.5785696
   37.1886920   38.0593220
   37.1930760   38.2065370
   36.4948690   38.0203820
   37.4474450   37.9656329
   36.9228223   37.5752755
   37.2935740   37.4894620
   36.8462380   37.3847510
   32.9586630   41.4231300
   32.5322000   40.9445000
   32.6226540   41.1956200
   32.9175140   41.0732760
   32.6831280   41.2493060
   32.3292000   41.2002000
   33.6893090   37.3617670
   32.6770010   36.7537049
   32.8920380   36.6402610
   33.2222430   37.1810090
   32.9589780   37.2273170
   32.6177660   36.6986110
   43.6273780   40.7425610
   43.3320950   40.8467470
   43.4141780   40.3750829
   43.1191180   40.1406480
   43.0974525   40.6013378
   42.5904790   40.3334010
   42.7906250   40.4641180
   43.1298040   40.7796329
   34.0147470   41.9787570
   33.5538150   41.6869900
   33.3285070   41.2426419
   33.3057190   41.6425330
   34.0116800   41.9573410
   33.0036760   41.8922210
   34.2267060   41.9511780
   33.4692280   41.4776260
   33.8352140   41.6038910
   33.4604770   42.0042990
   34.4632689   41.6254030
   33.5547240   41.2038490
   33.7593580   41.9772500
   33.7764970   41.3766250
   33.7102689   41.8059780
   33.1107660   41.6038360
   33.7185210   41.6199530
   33.2314040   41.8097410
   34.2102840   41.5099450
   34.0374679   41.0174189
   36.1735450   39.0023600
   35.8520980   38.8550619
   35.4928160   38.3886520
   35.5673410   39.0900960
   35.4525560   38.6459819
   35.1838600   38.6232980
   35.4825970   38.7204890
   35.4825970   38.7204890
   35.6991129   39.1063810
   36.3950200   38.7205129
   35.9669570   39.0778180
   36.4977980   38.4805720
   35.5555680   38.6875010
   35.7991040   38.4479250
   35.3591590   38.0991710
   35.0859440   38.3561600
   33.4718040   39.8132520
   33.7182270   39.9097750
   33.5256220   39.4646670
   34.0326160   39.9436870
   33.3781729   39.5931179
   33.6108040   39.6718339
   33.5088782   39.8397835
   33.7181270   40.1584500
   33.4523530   39.8489010
   27.0917980   41.4313239
   27.7627560   41.8226180
   27.2243690   41.7354720
   27.1571480   41.9428000
   27.3656460   41.4027420
   26.9243540   41.3471110
   27.5178880   41.6242710
   27.7671480   41.5729760
   34.0962280   39.6249810
   33.9602190   39.4519949
   34.2658410   39.2702160
   34.4180620   39.6016700
   33.7233750   39.3589370
   34.1594989   39.1460780
